190701,Intro,Day001,인덱싱
190702,DA,Day002 AM,데이터파일 불러오기,EDA,시계열
190702,DA,Day002 PM,합치기,결측값 처리,파생변수
190703,DA,Day003,보간법,대체,중복 처리,표준화,정규화,이항변수화
190705,DA,Day004 AM,이항변수화,원핫인코더,이산형화,다항변수화,피봇,합치기2
190705,DA,Day004 PM,합치기3,stack,melt,크로스테이블,loc 과 iloc,데이터 삭제
190708,DA,Day005,정렬,DF와 시리즈 비교,문자열 처리,참조,Assign함수,열 삭제,텍스트 단어 분리,표본 추출,데이터 병합과 결측값 처리,누락값 제거,melt,피봇테이블 응용,데이터 가져오기,시각화
190709,DA,Day006,자료형 변형,to_numeric,카테고리 자료형,matplotlib 시각화,seaborn 시각화,1차원 데이터 시각화,다차원 데이터 시각화
190710,DA,Day007,문자열 참조,정규표현식,match,search,findall,finditer,매치된 위치 참조,OR연산자,문자열의 시작과 끝 표시,그룹 만들기,그룹 단위로 별칭 설정하기,문자열 관련 함수,apply 함수,그룹화,대용량 데이터 다루기
190711,DA,Day008,그룹화 연습,데이터 분석,그룹화+apply함수,람다 함수(+map 함수),json파일 열기
190712,DA,Day009,json과 딕셔너리,Counter 클래스,데이터 필터링(필터 함수),시계열 데이터,to_date(와 옵션들),시계열 데이터 추출,dt 접근자,quarter 속성,cut 함수,qcut 함수
190715,ML,Day001,탐색적 분석방법(EDA),예측,Kaggle submission 연습,시각화,결측값 시각화,ggplot,bar chart,box plot,결측값 처리 후 시각화
190716,ML,Day002,지난 시간 연습 문제 풀이,교차 검증,오차 행렬,데이터 전처리,원핫 인코딩,파생변수 만들기,dtypes,Decision Tree,스크래핑,xml 출력,태그 내용 추출,id로 요소 추출,find함수,find_all함수,CSS 선택자
190717,ML,Day003,데이터 스크래핑,CSS 선택자 추출
190718,ML,Day004,문서 유사도,코사인 유사도,tfidf,로그인해서 웹 스크래핑,랜덤포레스트
190719,ML,Day005,랜덤포레스트,random forest classifier,train_test_split,선형대수,텐서,이미지 벡터화,전치연산,대각 정방행렬,벡터화 행렬의 연산,내적,선형회귀모형,행렬의 곱셈,선형 조합,역행렬
190722,ML,Day006,회귀,시각화,상관계수,랜덤포레스트,피처 선택
190723,ML,Day007,벡터,벡터의 길이,직교,추천 시스템(Colaborative Filtering 기반),피타고라스 공식,유클리디안 거리,상관계수(피어슨 상관계수),선형회귀모형
190724,ML,Day008,논리 연산 문제
190725,ML,Day009,활성화 함수,계단 함수,Sigmoid 함수,ReLU 함수,다차원 배열의 연산,행렬의 내적(행렬곱),신경망 코딩,Softmax
